"Canton ID",Canton,"SFO Commune ID",Commune,Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,Church,Canton,Commune,Church
1,ZH,102,Weiach,98,96,11,13,14,98,96,11,13,14,98,107.68,0,98,107.68,0
1,ZH,251,"Weiningen (ZH)",98,107,11,9,14,98,107,11,9,14,98,116.92,0,98,116.92,0
1,ZH,180,Weisslingen,98,116,13,13,14,98,116,13,13,14,98,129,0,98,129,0
1,ZH,14,"Wettswil am Albis",98,91,11,11,14,98,91,11,11,14,98,102,0,98,102,0
1,ZH,121,"Wetzikon (ZH)",98,119,14,14,14,98,119,14,14,14,98,133,0,98,133,0
1,ZH,298,Wiesendangen,98,88,14,13,14,98,88,14,13,14,98,101.68,0,98,101.68,0
1,ZH,71,"Wil (ZH)",98,99,14,13,14,98,99,14,13,14,98,112.77,0,98,112.77,0
1,ZH,181,Wila,98,125,14,13,14,98,125,14,13,14,98,138.72,0,98,138.72,0
1,ZH,182,Wildberg,98,127,14,13,14,98,127,14,13,14,98,140.8,0,98,140.8,0
1,ZH,72,Winkel,98,76,10,11,14,98,76,10,11,14,98,86.42,0,98,86.42,0
1,ZH,230,Winterthur,98,125,13,17,14,98,125,13,17,14,98,139.72,0,98,139.72,0
1,ZH,293,Wädenswil,98,103,11,13,14,98,103,11,13,14,98,114.94,0,98,114.94,0
1,ZH,231,"Zell (ZH)",98,118,14,12,14,98,118,14,12,14,98,131.22,0,98,131.22,0
1,ZH,161,Zollikon,98,76,8,8,14,98,76,8,8,14,98,84,0,98,84,0
1,ZH,160,Zumikon,98,75,8,8,14,98,75,8,8,14,98,83,0,98,83,0
1,ZH,261,Zürich,98,119,10,10,14,98,119,10,10,14,98,129.03,0,98,129.03,0
2,BE,301,Aarberg,297.5,175,16.1,20,28.000000000000004,297.5,175,16.1,20,28.000000000000004,262,175,16.76,262,175,16.76
2,BE,321,Aarwangen,297.5,157,18.4,19,27.6,297.5,157,18.4,19,27.6,262,157,18.58,262,157,18.58
2,BE,561,Adelboden,297.5,199,18.4,23,23,297.5,199,18.4,23,23,262,199,18.94,262,199,18.94
2,BE,401,Aefligen,297.5,195,16,19,27.6,297.5,195,16,19,27.6,262,195,16.470000000000002,262,195,16.470000000000002
2,BE,731,Aegerten,297.5,179,20,20,28.000000000000004,297.5,179,20,20,28.000000000000004,262,179,20.03,262,179,20.03
2,BE,562,"Aeschi bei Spiez",297.5,179,25,23,23,297.5,179,25,23,23,262,179,24.82,262,179,24.82
2,BE,951,"Affoltern im Emmental",297.5,186,23.799999999999997,19,27.6,297.5,186,23.799999999999997,19,27.6,262,186,23.47,262,186,23.47
2,BE,402,Alchenstorf,297.5,175,22,19,27.6,297.5,175,22,19,27.6,262,175,21.82,262,175,21.82
2,BE,630,Allmendingen,297.5,125,18.4,18,27.6,297.5,125,18.4,18,27.6,262,125,18.33,262,125,18.33
2,BE,921,Amsoldingen,297.5,185,24.6,19.5,23,297.5,185,24.6,19.5,23,262,185,24.07,262,185,24.07
2,BE,381,Arch,297.5,175,14.000000000000002,20,28.000000000000004,297.5,175,14.000000000000002,20,28.000000000000004,262,175,15.299999999999999,262,175,15.299999999999999
2,BE,602,"Arni (BE)",297.5,174,23,19,27.6,297.5,174,23,19,27.6,262,174,22.82,262,174,22.82
2,BE,971,Attiswil,297.5,164,20.7,19,27.6,297.5,164,20.7,19,27.6,262,164,20.3,262,164,20.3
2,BE,322,Auswil,297.5,175,18.4,19,27.6,297.5,175,18.4,19,27.6,262,175,18.47,262,175,18.47
2,BE,323,Bannwil,297.5,180,18.4,19,27.6,297.5,180,18.4,19,27.6,262,180,18.58,262,180,18.58
2,BE,302,"Bargen (BE)",297.5,184,23,20,28.000000000000004,297.5,184,23,20,28.000000000000004,262,184,22.57,262,184,22.57
2,BE,571,Beatenberg,297.5,198,24.15,20.7,23,297.5,198,24.15,20.7,23,262,198,23.74,262,198,23.74
2,BE,732,Bellmund,297.5,130,21,23,28.000000000000004,297.5,130,21,23,28.000000000000004,262,130,21.490000000000002,262,130,21.490000000000002
2,BE,861,Belp,297.5,140,18.4,19,27.6,297.5,140,18.4,19,27.6,262,140,18.529999999999998,262,140,18.529999999999998
2,BE,681,Belprahon,297.5,193,23,20.7,30.599999999999998,297.5,193,23,20.7,30.599999999999998,262,193,21.69,262,193,21.69
2,BE,972,Berken,297.5,110.00000000000001,17,19,27.6,297.5,110.00000000000001,17,19,27.6,262,110.00000000000001,17.21,262,110.00000000000001,17.21
2,BE,351,Bern,297.5,154,18.4,19,27.6,297.5,154,18.4,19,27.6,262,154,18.709999999999997,262,154,18.709999999999997
2,BE,973,Bettenhausen,297.5,155,17,19,27.6,297.5,155,17,19,27.6,262,155,17.28,262,155,17.28
2,BE,371,Biel/Bienne,297.5,163,23,23,28.000000000000004,297.5,163,23,23,28.000000000000004,262,163,23.06,262,163,23.06
2,BE,603,Biglen,297.5,190,23,19,27.6,297.5,190,23,19,27.6,262,190,22.5,262,190,22.5
2,BE,324,Bleienbach,297.5,145,17.5,19,27.6,297.5,145,17.5,19,27.6,262,145,17.69,262,145,17.69
2,BE,922,Blumenstein,297.5,175,23,19.5,23,297.5,175,23,19.5,23,262,175,22.81,262,175,22.81
2,BE,352,Bolligen,297.5,160,18.4,19,27.6,297.5,160,18.4,19,27.6,262,160,18.61,262,160,18.61
2,BE,791,Boltigen,297.5,190,23,13.77,23,297.5,190,23,13.77,23,262,190,22.27,262,190,22.27
2,BE,605,Bowil,297.5,184,20.7,19,27.6,297.5,184,20.7,19,27.6,262,184,20.62,262,184,20.62
2,BE,353,"Bremgarten bei Bern",297.5,149,18.4,19,27.6,297.5,149,18.4,19,27.6,262,149,18.6,262,149,18.6
2,BE,606,Brenzikofen,297.5,186,18.4,19,23,297.5,186,18.4,19,23,262,186,18.459999999999997,262,186,18.459999999999997
2,BE,573,"Brienz (BE)",297.5,175,23,20,23,297.5,175,23,20,23,262,175,22.48,262,175,22.48
2,BE,574,Brienzwiler,297.5,164,23,20,23,297.5,164,23,20,23,262,164,22.470000000000002,262,164,22.470000000000002
2,BE,733,Brügg,297.5,169,20,23,28.000000000000004,297.5,169,20,23,28.000000000000004,262,169,21.01,262,169,21.01
2,BE,491,Brüttelen,297.5,190,18,20,28.000000000000004,297.5,190,18,20,28.000000000000004,262,190,18.56,262,190,18.56
2,BE,923,Buchholterberg,297.5,180,25.3,19.5,23,297.5,180,25.3,19.5,23,262,180,25.05,262,180,25.05
2,BE,404,Burgdorf,297.5,163,18.4,20.7,27.6,297.5,163,18.4,20.7,27.6,262,163,18.87,262,163,18.87
2,BE,863,Burgistein,297.5,195,18.4,19.5,23,297.5,195,18.4,19.5,23,262,195,18.5,262,195,18.5
2,BE,325,"Busswil bei Melchnau",297.5,160,19,19,27.6,297.5,160,19,19,27.6,262,160,19,262,160,19
2,BE,403,Bäriswil,297.5,164,21,20.7,27.6,297.5,164,21,20.7,27.6,262,164,20.96,262,164,20.96
2,BE,533,Bätterkinden,297.5,180,21,19,27.6,297.5,180,21,19,27.6,262,180,20.69,262,180,20.69
